# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      7     35      -      9      2      0      0      0      0    405    210    371     21      0 
    0      7     36      -      9      2      0      0      0      0  11501   2655    706     25      0 
    0     49     38      -      5      0      0      0      0      0  11501   2775    838     45      0 
    0     56     38      -      0      0      0      0      0      0  11501   2775    832     45      0 
