procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 23844544 263584 4476468    0    0    95    22  822  868 10  5 85  0  0
 1  1      0 23461296 264168 4484700    0    0     0  3384 17102 29516  6  5 87  1  0
18  0      0 22103364 265344 4485092    0    0     0  6776 21053 18834  5  9 83  3  0
 3  0      0 21935048 265344 4485612    0    0     0     0 30285 114004  6 13 81  0  0
 1  0      0 21798852 265344 4488176    0    0     0     0 34753 76535 11  8 81  0  0
 1  0      0 21701352 265472 4488680    0    0     0  1136 39921 85913  8  8 84  0  0
 2  0      0 21518400 265640 4491040    0    0     0  1292 26521 44446  1  7 91  0  0
 4  0      0 20919892 265736 4499688    0    0   128  2704 31331 44590  8  7 85  0  0
 1  0      0 20261316 265768 4499692    0    0     0   180 41302 65445 21  5 74  0  0
 1  0      0 20141600 265768 4499692    0    0     0    20 31662 56676  7  4 90  0  0
 2  1      0 20147240 265808 4499764    0    0     0   352 24227 44244  2  0 98  0  0
 2  0      0 20078996 265888 4499708    0    0     0   512 30541 66121  8  4 88  0  0
 1  0      0 21581652 265888 4499664    0    0     0     0 19689 40795  2  1 97  0  0
 0  0      0 23747132 265888 4479028    0    0     0   340 14371 11534  1  2 97  0  0
 0  0      0 23777084 265888 4479020    0    0     0     0 4923 7256  1  0 99  0  0
 0  0      0 23774404 265888 4481196    0    0     0     0 5166 5410  3  0 97  0  0
 0  0      0 23780436 265888 4481196    0    0     0     8 6244 14495  1  0 98  0  0
 1  0      0 23826100 265900 4479020    0    0     0   548 6412 9868  1  0 98  0  0
 0  0      0 23829064 265900 4479020    0    0     0     0 4417 6959  1  0 99  0  0
 0  0      0 23837992 265900 4479020    0    0     0     4 4431 6516  1  0 99  0  0
 0  0      0 23841388 265900 4479020    0    0     0     0 4977 7552  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 23842260 265900 4479020    0    0     0     0 2065 2952  0  0 99  0  0
 0  0      0 23843232 265908 4479020    0    0     0   184 3179 5007  1  0 99  0  0
 1  0      0 23839644 265908 4479020    0    0     0     0 3919 6201  1  0 99  0  0
 0  0      0 23835836 265908 4482156    0    0     0     0 7873 11430  1  0 98  0  0
