# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     35      -      6      1      0      0      0      0    405    210    388     21      0 
    0      7     36      -      6      1      0      0      0      0  11501   2760    725     25      0 
    0     52     37      -      2      0      0      0      0      0  11501   2775    843     45      0 
    0     57     38      -      0      0      0      0      0      0  11501   2775    834     45      0 
    0     57     38      -      0      0      0      0      0      0  11501   2775    868     45      0 
    0     57     38      -      0      0      0      0      0      0  11501   2775    867     45      0 
    0     57     38      -      1      0      0      0      0      0  11501   2775    785     45      0 
    0     54     38      -      0      0      0      0      0      0  11501   2775    844     63      0 
    0     51     39      -      4      0      0      0      0      0  11501   2775   3041     63      0 
    0     55     37      -     19      3      0      0      0      0  11501   2595   3081     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3081     63      0 
    0     43     37      -      4      0      0      0      0      0  11501   2595   3594     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3593     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3593     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3593     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3594     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3594     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3593     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3593     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3593     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3594     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3594     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3593     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3593     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3593     63      0 
    0     39     37      -      1      0      0      0      0      0  11501   2595   3594     63      0 
    0     16     36      -      4      1      0      0      0      0    810    405   3594     63      0 
    0      8     36      -      6      1      0      0      0      0    405    240   3594     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3594     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -     12      4      0      0      0      0    405    210   3591     63      0 
    0      6     36      -     25      9      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      6      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -     24     10      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      7      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -     13      5      0      0      0      0    405    210   3591     63      0 
    0      6     36      -     11      4      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      9      2      0      0      0      0    405    210   3591     63      0 
    0      6     36      -     18      6      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      7      2      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -     12      4      0      0      0      0    405    210   3591     63      0 
    0      6     36      -     14      4      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      7      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      7      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      7     36      -      7      1      0      0      0      0    405    210   3591     63      0 
    0      7     36      -      7      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -     26      9      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      3      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      9      2      0      0      0      0    405    210   3591     63      0 
    0      7     36      -     19      7      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      9      2      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -     25      7      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      7      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     36      -      7      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -     21      9      0      0      0      0    405    210   3591     63      0 
    0      6     35      -     19      5      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      7      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -     14      4      0      0      0      0    405    210   3591     63      0 
    0      6     35      -     28     15      0      0      0      0    405    210   3591     63      0 
    0      6     35      -     34     11      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      9      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -     16      6      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -     21      8      0      0      0      0    405    210   3591     63      0 
    0      6     35      -     23      9      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3591     63      0 
    0      7     35      -     26      9      0      0      0      0    405    210   3612     63      0 
    0      8     35      -      6      1      0      0      0      0    405    300   3614     63      0 
    0      6     35      -      7      1      0      0      0      0    405    300   3614     63      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     35      -      8      1      0      0      0      0    405    210   3613     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3613     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3603     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3597     63      0 
    0      6     35      -     13      4      0      0      0      0    405    210   3597     63      0 
    0      6     35      -     22      9      0      0      0      0    405    210   3597     63      0 
    0      6     35      -     23      9      0      0      0      0    405    210   3597     63      0 
    0      6     35      -     20      6      0      0      0      0    405    210   3597     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3597     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3597     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3597     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3597     63      0 
    0      6     35      -      7      1      0      0      0      0    405    210   3597     63      0 
    0      6     35      -      7      1      0      0      0      0    405    210   3597     63      0 
    0      7     35      -      8      1      0      0      0      0    405    210   3594     63      0 
    0      6     35      -     16      5      0      0      0      0    405    210   3594     63      0 
    0      7     35      -     26     10      0      0      0      0    405    210   3602     63      0 
    0      7     35      -     37     18      0      0      0      0    405    210   3623     63      0 
    0      9     35      -      7      2      0      0      0      0    405    255   3633     63      0 
    0      7     35      -     48     19      0      0      0      0    405    255   3631     63      0 
    0      7     35      -     44     19      0      0      0      0    405    210   3632     63      0 
    0      7     35      -     43     20      0      0      0      0    405    210   3630     63      0 
    0      8     35      -      8      2      0      0      0      0    405    225   3622     63      0 
    0      7     35      -      8      1      0      0      0      0    405    225   3622     63      0 
    0      7     35      -     16      8      0      0      0      0    405    210   3621     63      0 
    0      6     35      -     39     19      0      0      0      0    405    210   3621     63      0 
    0      7     35      -     20      7      0      0      0      0    405    210   3621     63      0 
    0      6     35      -     10      2      0      0      0      0    405    210   3621     63      0 
    0      7     35      -      9      2      0      0      0      0    405    210   3620     63      0 
    0      6     35      -      9      2      0      0      0      0    405    210   3620     63      0 
    0      6     35      -      9      2      0      0      0      0    405    210   3620     63      0 
    0      6     35      -      9      2      0      0      0      0    405    210   3614     63      0 
    0      6     35      -     21      7      0      0      0      0    405    210   3609     63      0 
    0      6     35      -     10      2      0      0      0      0    405    210   3608     63      0 
    0      6     35      -      9      2      0      0      0      0    405    210   3604     63      0 
    0      6     35      -      9      2      0      0      0      0    405    210   3604     63      0 
    0      6     35      -      9      2      0      0      0      0    405    210   3604     63      0 
    0      6     35      -      9      1      0      0      0      0    405    210   3604     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3604     63      0 
    0      6     35      -     22      8      0      0      0      0    405    210   3604     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3604     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3604     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3604     63      0 
    0      7     35      -     19      6      0      0      0      0    405    210   3612     63      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      8     35      -     32     15      0      0      0      0    405    210   3613     63      0 
    0      7     35      -      8      2      0      0      0      0    405    210   3612     63      0 
    0      6     35      -     35     15      0      0      0      0    405    210   3612     63      0 
    0      7     35      -     13      4      0      0      0      0    405    210   3612     63      0 
    0      7     35      -     38     18      0      0      0      0    405    210   3612     63      0 
    0      7     35      -     17      6      0      0      0      0    405    210   3610     63      0 
    0      8     35      -     49     20      0      0      0      0    405    270   3615     63      0 
    0      9     35      -     37     20      0      0      0      0    405    375   3641     63      0 
    0      7     35      -     30     13      0      0      0      0    405    375   3641     63      0 
    0      7     35      -      7      2      0      0      0      0    405    210   3635     63      0 
    0      7     35      -      8      2      0      0      0      0    405    210   3635     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3631     63      0 
    0      7     35      -     15      6      0      0      0      0    405    210   3627     63      0 
    0      7     35      -      8      2      0      0      0      0    405    210   3623     63      0 
    0      6     35      -      8      2      0      0      0      0    405    210   3623     63      0 
    0      6     35      -     27     12      0      0      0      0    405    210   3623     63      0 
    0      7     35      -      8      2      0      0      0      0    405    210   3623     63      0 
    0      6     35      -      8      1      0      0      0      0    405    210   3623     63      0 
    0      7     35      -     16      6      0      0      0      0    405    210   3623     63      0 
