procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 23763708 293456 4480928    0    0    72    21  703  779  8  4 89  0  0
 3  0      0 23357664 293456 4488960    0    0     0    40 11037 26227  4  5 91  0  0
 3  0      0 22024468 293464 4491552    0    0     0   184 22161 23526  9 10 81  0  0
 2  0      0 21815400 293464 4489820    0    0     0     0 24718 95448  6 13 81  0  0
 3  0      0 21753980 293464 4490316    0    0     0   128 31591 56153 11  7 82  0  0
 1  0      0 21653252 293464 4490744    0    0     0     0 40028 93306  5  8 87  0  0
 1  0      0 21478004 293536 4493184    0    0     0   448 23403 45266  1  7 92  0  0
 8  0      0 20769256 293536 4501724    0    0   128  2956 31133 42775 10  7 83  0  0
 2  0      0 20059256 293536 4501732    0    0     0     0 35203 47124 16  4 81  0  0
 1  0      0 20004568 293536 4501732    0    0     0    20 28305 60425  5  3 91  0  0
 0  0      0 20004584 293536 4501732    0    0     0     0 20144 43797  1  0 99  0  0
 1  0      0 19918532 293544 4501736    0    0     0   228 27268 64094  9  4 87  0  0
 1  0      0 19903252 293544 4501736    0    0     0   176 20559 36918  7  0 93  0  0
 1  0      0 19906108 293544 4501736    0    0     0     0 24458 38559  8  0 92  0  0
 1  0      0 19919032 293544 4501736    0    0     0     0 21327 47119  7  0 93  0  0
 1  0      0 19911416 293544 4501736    0    0     0     0 21019 42952  7  0 93  0  0
 1  0      0 19910568 293552 4501736    0    0     0   156 21162 41991  7  0 93  0  0
 1  0      0 19910220 293552 4501736    0    0     0     8 20596 37055  7  0 93  0  0
 1  0      0 19901920 293552 4501740    0    0     0     0 20524 37025  7  0 93  0  0
 1  0      0 19893580 293552 4501740    0    0     0     0 21438 47147  7  0 93  0  0
 1  0      0 19883504 293552 4501740    0    0     0     0 21115 42722  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 19885600 293556 4501736    0    0     0    12 21238 42350  7  0 93  0  0
 1  0      0 19883880 293560 4501740    0    0     0   364 20656 37201  7  0 93  0  0
 1  0      0 19877628 293560 4501740    0    0     0    12 20534 37066  7  0 93  0  0
 1  0      0 19873980 293560 4501740    0    0     0     0 21324 46904  7  0 93  0  0
 1  0      0 19868528 293560 4501744    0    0     0     4 21335 42954  7  0 93  0  0
 1  0      0 19870368 293560 4501740    0    0     0     0 21252 43113  7  0 93  0  0
 3  0      0 19868816 293568 4501740    0    0     0    96 20676 36989  7  0 93  0  0
 6  0      0 19895828 293568 4501740    0    0     0     8 47061 113259 14  7 79  0  0
 1  1      0 19880116 295144 4501836    0    0     0  9236 52544 136361 15  7 75  3  0
 1  0      0 19882444 296152 4501608    0    0     0  6044 52666 150961 15  7 76  2  0
 2  0      0 19879464 296152 4501836    0    0     0     0 50323 134587 15  7 79  0  0
 1  0      0 19884292 296152 4501836    0    0     0     0 48123 110143 15  6 79  0  0
 2  0      0 19883888 296152 4501836    0    0     0     0 47807 109061 14  6 80  0  0
 9  0      0 19882236 296152 4501836    0    0     0    40 49681 126080 15  7 79  0  0
 2  0      0 19882244 296160 4501828    0    0     0    80 49280 118151 15  6 79  0  0
 1  0      0 19882268 296160 4501836    0    0     0     0 49240 118806 14  6 80  0  0
 4  0      0 19887032 296160 4501836    0    0     0     0 49144 116929 15  7 78  0  0
