procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 23614772 326252 4597600    0    0    57    22  385  494  9  4 87  0  0
 3  0      0 23115744 326256 4605652    0    0     0     0 11912 24897  5  5 90  0  0
 1  0      0 21858008 326264 4606200    0    0     0   316 22187 25725 10 10 80  0  0
 3  1      0 21654760 326504 4608580    0    0     0  1576 29787 98615  8 13 78  1  0
 3  0      0 21544156 328944 4610616    0    0     0 13568 39251 91755 11  8 76  5  0
 3  0      0 21438096 328944 4611164    0    0     0     0 37048 88146  5  8 87  0  0
 2  0      0 21250536 329016 4613716    0    0     0   372 25977 54952  1  7 92  0  0
17  0      0 20610796 329016 4622780    0    0   128  2832 30797 55848  9  7 84  0  0
 1  0      0 19902176 329016 4622780    0    0     0     0 36746 61354 17  4 79  0  0
 0  0      0 19849912 329016 4622784    0    0     0   156 28295 52049  5  3 92  0  0
 1  0      0 19896956 329016 4622788    0    0     0     0 19872 38236  1  0 99  0  0
 2  0      0 19826556 329024 4622788    0    0     0    96 27925 76297  9  4 87  0  0
 1  0      0 19834500 329024 4622788    0    0     0     0 21408 42880  7  0 93  0  0
 1  0      0 19827220 329048 4622788    0    0     0   144 21495 43299  7  0 93  0  0
 1  0      0 19829888 329048 4622788    0    0     0     0 20869 37257  7  0 93  0  0
 1  0      0 19812428 329048 4622788    0    0     0     0 20774 37304  7  0 93  0  0
 2  0      0 19801568 329048 4622788    0    0     0    64 21583 46712  7  0 93  0  0
 1  0      0 19786472 329048 4622788    0    0     0     0 20960 42815  7  0 93  0  0
 1  0      0 19779632 329056 4622788    0    0     0    80 21224 43092  7  0 93  0  0
 1  0      0 19773920 329056 4622788    0    0     0     0 20662 37096  7  0 93  0  0
 1  0      0 19765396 329056 4622788    0    0     0   372 20842 37259  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
