procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 19752728 329056 4622788    0    0     0     0 21688 46741  7  0 93  0  0
 1  0      0 19745780 329056 4622788    0    0     0     0 21020 42693  7  0 93  0  0
 1  0      0 19729416 329080 4622752    0    0     0   344 21297 43131  7  0 93  0  0
 1  0      0 19721528 329080 4622780    0    0     0     0 20828 37156  7  0 93  0  0
 1  0      0 19715836 329080 4622780    0    0     0     8 20884 37186  7  0 93  0  0
 3  0      0 19705684 329080 4622780    0    0     0     0 21693 47690  7  0 93  0  0
 1  0      0 19700568 329080 4622780    0    0     0     0 21003 42004  6  0 93  0  0
 1  0      0 19720244 329080 4622780    0    0     0     0 44142 106203 13  6 81  0  0
 4  0      0 19724832 329088 4622780    0    0     0    60 49129 115573 14  6 80  0  0
 1  0      0 19737408 329088 4622780    0    0     0     0 49811 123389 14  7 79  0  0
 1  0      0 19732980 329088 4622780    0    0     0    20 49974 124705 14  7 79  0  0
 1  0      0 19734720 329088 4622780    0    0     0     0 49354 118358 14  6 79  0  0
 1  0      0 19730072 329088 4622780    0    0     0   464 49757 119053 14  6 80  0  0
 1  0      0 19737108 329096 4622780    0    0     0    92 49400 112573 14  7 79  0  0
 1  0      0 19736432 329096 4622780    0    0     0     0 49391 111949 15  6 78  0  0
 2  0      0 19734408 329096 4622780    0    0     0    12 50060 125136 14  7 79  0  0
20  0      0 19735672 329096 4622780    0    0     0     0 49720 121008 14  7 79  0  0
14  0      0 19736292 329096 4622780    0    0     0     0 49912 131698 15  7 78  0  0
 1  0      0 19728996 329096 4622784    0    0     0    60 47942 109747 14  5 81  0  0
 1  0      0 19728328 329104 4622784    0    0     0    16 48703 111313 14  5 81  0  0
 2  0      0 19719188 329104 4622784    0    0     0     0 50085 126438 15  6 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19722896 329104 4622784    0    0     0    12 49363 117886 15  6 79  0  0
 1  0      0 19724880 329104 4622788    0    0     0     0 49479 118108 15  6 79  0  0
 2  0      0 19723860 329104 4622788    0    0     0     0 48612 111621 14  5 81  0  0
 1  0      0 19724488 329112 4622780    0    0     0    24 48903 112349 14  6 80  0  0
 6  0      0 19722560 329112 4622788    0    0     0     0 49543 127889 15  6 79  0  0
 1  0      0 19724000 329112 4622788    0    0     0    12 50075 129561 15  7 78  0  0
16  0      0 19722308 329112 4622788    0    0     0     0 49475 118187 15  7 78  0  0
17  0      0 19722572 329112 4622788    0    0     0     0 48636 109872 15  6 79  0  0
13  0      0 19709384 329112 4622788    0    0     0     8 49364 113084 15  6 78  0  0
 2  0      0 19695292 329120 4622792    0    0     0    64 50115 122737 15  6 79  0  0
 1  0      0 19712092 329120 4622792    0    0     0     0 49891 119606 14  6 80  0  0
 1  0      0 19711212 329120 4622796    0    0     0     8 49476 117908 14  6 80  0  0
 1  0      0 19709648 329120 4622796    0    0     0     0 49077 112212 15  6 79  0  0
 4  0      0 19710696 329120 4622796    0    0     0     0 48801 113328 15  7 78  0  0
 3  0      0 19705456 329128 4622796    0    0     0    64 50231 128972 15  7 78  0  0
 1  0      0 19710368 329128 4622796    0    0     0     0 48873 116361 14  6 79  0  0
 7  0      0 19707940 329128 4622796    0    0     0    12 49442 117490 14  6 80  0  0
 2  0      0 19706296 329128 4622800    0    0     0     4 49313 113550 15  6 79  0  0
 1  0      0 19703512 329128 4622796    0    0     0     0 49273 113136 14  6 79  0  0
 2  0      0 19700788 329128 4622796    0    0     0     0 50694 126412 15  7 78  0  0
 2  0      0 19702696 329136 4622796    0    0     0    88 49230 115643 15  6 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 19689032 329400 4622780    0    0     0  1608 53944 141410 16  6 77  0  0
16  0      0 19686192 331712 4622728    0    0     0 12988 54428 160607 14  8 74  4  0
12  0      0 19693972 331712 4622880    0    0     0     0 50511 131385 15  7 79  0  0
 2  0      0 19701524 331712 4622896    0    0     0     0 50966 129001 15  7 78  0  0
17  0      0 19704072 331712 4622896    0    0     0     0 50152 117259 15  7 78  0  0
 1  0      0 19706948 331712 4622896    0    0     0     0 49293 117112 14  6 80  0  0
 2  0      0 19703604 331712 4622896    0    0     0    36 48991 110878 15  6 80  0  0
 3  0      0 19709700 331720 4622896    0    0     0    64 48663 112942 14  6 81  0  0
 2  0      0 19705128 331720 4622896    0    0     0     0 50344 125189 15  7 79  0  0
 1  0      0 19680152 331720 4622896    0    0     0     0 49402 128164 14  7 79  0  0
 2  0      0 19680148 331720 4622896    0    0     0     0 49451 116593 15  7 78  0  0
 1  0      0 19687016 331720 4622896    0    0     0     0 48598 109806 16  7 78  0  0
 1  0      0 19688264 331728 4622892    0    0     0    64 49050 110529 15  7 78  0  0
 2  0      0 19683044 331728 4622916    0    0     0     0 50109 125270 15  7 78  0  0
 1  0      0 19683880 331728 4622916    0    0     0     0 49704 114880 15  7 78  0  0
 1  0      0 19686328 331728 4622916    0    0     0     0 49566 119402 15  6 79  0  0
16  0      0 19687032 331728 4622916    0    0     0    24 49106 111100 15  6 79  0  0
 1  0      0 19683988 331728 4622916    0    0     0     0 48289 109074 15  6 79  0  0
 5  0      0 19682476 331736 4622916    0    0     0    28 50035 129083 15  7 78  0  0
 1  0      0 19680452 331736 4622916    0    0     0     0 49084 120696 15  7 77  0  0
 1  0      0 19680488 331736 4622916    0    0     0     0 49562 119679 15  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19683972 331736 4622916    0    0     0    12 48967 112202 14  6 79  0  0
 1  0      0 19681804 331736 4622916    0    0     0     0 48573 111181 14  6 80  0  0
 2  0      0 19677480 331744 4622920    0    0     0    68 49972 126680 14  7 79  0  0
 3  0      0 19677312 331744 4622920    0    0     0     0 49258 115751 14  6 79  0  0
 2  0      0 19680020 331744 4622920    0    0     0     0 49611 117852 15  7 79  0  0
 1  0      0 19679088 331744 4622920    0    0     0     0 49254 112405 15  6 79  0  0
 1  0      0 19675976 331744 4622920    0    0     0    12 49878 126743 14  7 79  0  0
 2  0      0 19670728 331752 4622912    0    0     0    80 50194 127378 15  6 78  0  0
 1  0      0 19670740 331752 4622920    0    0     0     0 49306 115737 15  6 79  0  0
 1  0      0 19672140 331752 4622936    0    0     0     0 50002 120402 14  6 81  0  0
 1  0      0 19671424 331752 4622936    0    0     0     0 49454 112577 15  6 79  0  0
 1  0      0 19673552 331752 4622936    0    0     0    12 49119 111765 15  6 79  0  0
 3  0      0 19664396 331752 4622940    0    0     0     0 50393 130970 14  6 80  0  0
 4  0      0 19667660 331760 4622940    0    0     0    28 50497 125308 15  7 78  0  0
 1  0      0 19668624 331760 4622940    0    0     0     0 50259 124948 15  6 79  0  0
 1  0      0 19668664 331760 4622940    0    0     0     0 49001 109817 15  6 79  0  0
 2  0      0 19666620 331760 4622940    0    0     0     0 49631 113769 15  7 78  0  0
 2  0      0 19663208 331760 4622940    0    0     0     8 51118 129935 15  7 78  0  0
 1  0      0 19665640 331768 4622940    0    0     0    28 50058 117048 15  6 79  0  0
 1  0      0 19667356 331768 4622940    0    0     0     0 49981 119178 15  7 78  0  0
 6  0      0 19666352 331768 4622940    0    0     0     0 49533 117551 14  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 19665888 331768 4622940    0    0     0     0 50069 121136 16  8 77  0  0
 2  0      0 19660976 331768 4622940    0    0     0     8 50385 126823 15  7 79  0  0
 3  0      0 19661628 331768 4622940    0    0     0     0 49462 116478 14  6 80  0  0
 2  0      0 19661508 331776 4622940    0    0     0    16 50297 119625 14  7 79  0  0
18  0      0 19662308 331776 4622940    0    0     0     0 49671 112539 15  6 79  0  0
 1  0      0 19659400 331776 4622940    0    0     0     0 49480 113800 14  6 79  0  0
 2  0      0 19653164 331776 4622940    0    0     0     0 50972 129869 14  7 79  0  0
 2  0      0 19656716 331776 4622940    0    0     0     8 50983 131166 14  7 79  0  0
17  0      0 19653920 331784 4622944    0    0     0    16 50951 122658 15  7 78  0  0
 1  0      0 19658548 331784 4622944    0    0     0     0 49379 112921 14  6 80  0  0
 1  0      0 19620736 331784 4622944    0    0     0     0 49233 111491 15  6 80  0  0
 2  0      0 19614796 331784 4622944    0    0     0     0 51097 130862 14  7 79  0  0
 1  0      0 19620928 331784 4622944    0    0     0    12 50062 116670 15  6 79  0  0
 4  0      0 19604592 331784 4622944    0    0     0     0 50669 127861 15  7 77  0  0
16  0      0 19607428 331792 4622944    0    0     0    28 49300 116873 14  6 79  0  0
16  0      0 19612548 331792 4622944    0    0     0     0 50244 114923 15  7 78  0  0
 2  0      0 19608600 331792 4622944    0    0     0     0 50685 130691 15  6 80  0  0
 3  0      0 19621268 331792 4622944    0    0     0     0 50075 118818 14  6 79  0  0
 1  1      0 19610508 332000 4622744    0    0     0  1284 51901 125867 15  6 78  0  0
 1  0      0 19603992 334360 4623028    0    0     0 13376 57031 163277 17  7 72  4  0
 6  0      0 19609436 334360 4623032    0    0     0     0 50720 137155 15  7 77  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 19613268 334360 4623032    0    0     0     0 51520 141255 15  7 79  0  0
 1  0      0 19616592 334360 4623032    0    0     0     0 49706 115722 15  6 79  0  0
 1  0      0 19627160 334360 4623032    0    0     0     0 50235 118714 15  7 79  0  0
 1  0      0 19627652 334360 4623036    0    0     0    12 49326 111373 15  7 78  0  0
 2  0      0 19625964 334368 4623036    0    0     0    64 48998 111505 14  6 80  0  0
 2  0      0 19621764 334368 4623036    0    0     0     0 51282 130844 15  7 79  0  0
 6  0      0 19624744 334368 4623036    0    0     0     0 50080 119732 15  7 78  0  0
 1  0      0 19624692 334368 4623036    0    0     0     0 50279 129761 15  7 78  0  0
 2  0      0 19625192 334368 4623036    0    0     0     0 49492 112822 15  6 79  0  0
16  0      0 19623720 334376 4623036    0    0     0    64 49515 113767 15  6 79  0  0
 1  0      0 19618624 334376 4623036    0    0     0     0 50898 132168 15  7 78  0  0
 1  0      0 19619400 334376 4623036    0    0     0     0 50026 113460 15  7 78  0  0
18  0      0 19624276 334376 4623040    0    0     0    24 50286 122031 15  6 79  0  0
 5  0      0 19619272 334376 4623040    0    0     0     0 49864 121115 15  7 79  0  0
 1  0      0 19619456 334376 4623040    0    0     0     0 49934 119417 14  7 79  0  0
 2  0      0 19614288 334384 4623040    0    0     0    44 50718 129406 15  7 79  0  0
 6  0      0 19618804 334384 4623040    0    0     0     0 49310 112804 14  6 79  0  0
 2  0      0 19617856 334384 4623040    0    0     0     4 45877 96370 14  6 81  0  0
 1  0      0 19617732 334384 4623040    0    0     0     8 48324 109989 14  6 80  0  0
 1  0      0 19615124 334384 4623040    0    0     0     0 48270 108861 14  5 81  0  0
 3  0      0 19610860 334392 4623044    0    0     0    76 51027 129447 15  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19610352 334392 4623044    0    0     0     0 49341 112842 15  6 79  0  0
10  0      0 19611480 334392 4623044    0    0     0     0 51044 134056 15  8 77  0  0
 1  0      0 19611004 334392 4623044    0    0     0     8 49550 114488 15  7 78  0  0
17  0      0 19611096 334392 4623048    0    0     0     0 49769 112934 15  7 78  0  0
 1  0      0 19603644 334392 4623048    0    0     0    44 51062 132251 14  6 80  0  0
 2  0      0 19606412 334400 4623048    0    0     0    16 50134 114004 15  7 79  0  0
14  0      0 19605796 334400 4623048    0    0     0     0 50284 119965 15  7 78  0  0
 4  0      0 19607696 334400 4623048    0    0     0     0 49128 112845 15  7 79  0  0
 1  0      0 19606488 334400 4623048    0    0     0    12 50132 123546 15  8 77  0  0
17  0      0 19600556 334400 4623048    0    0     0     0 50504 130910 15  7 79  0  0
 3  0      0 19602400 334408 4623040    0    0     0    24 48386 109205 15  7 78  0  0
 1  0      0 19601668 334408 4623048    0    0     0     0 47945 111742 16  7 77  0  0
 1  0      0 19604364 334408 4623048    0    0     0     0 47447 105305 15  6 79  0  0
 2  0      0 19602140 334408 4623048    0    0     0     8 47053 105647 14  6 79  0  0
 4  0      0 19597024 334408 4623048    0    0     0     0 49084 123637 14  7 79  0  0
 2  0      0 19595552 334408 4623048    0    0     0     8 48715 112235 15  7 79  0  0
14  0      0 19598228 334416 4623048    0    0     0    16 49268 115638 14  6 79  0  0
 1  0      0 19597120 334416 4623048    0    0     0     0 47876 108199 14  6 80  0  0
 2  0      0 19595820 334416 4623048    0    0     0     0 47871 106145 14  6 80  0  0
 1  0      0 19590760 334416 4623048    0    0     0     8 49255 126442 14  7 79  0  0
 2  0      0 19591660 334416 4623048    0    0     0     0 48035 109149 14  6 81  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 19592492 334424 4623048    0    0     0    16 48776 122335 14  7 78  0  0
 1  0      0 19591996 334424 4623048    0    0     0     0 48655 113768 15  6 79  0  0
 1  0      0 19590600 334424 4623048    0    0     0     0 48350 110608 14  6 80  0  0
 1  0      0 19583656 334424 4623048    0    0     0     8 49588 127628 14  6 81  0  0
 2  0      0 19582612 334432 4623052    0    0     0    56 48686 111539 14  6 80  0  0
 1  0      0 19585748 334432 4623056    0    0     0    20 49049 115940 14  6 81  0  0
 1  0      0 19587352 334432 4623056    0    0     0     0 47537 106898 14  6 80  0  0
 1  0      0 19584936 334432 4623056    0    0     0     0 47862 107755 14  6 79  0  0
13  0      0 19579076 334432 4623056    0    0     0     0 48986 127214 14  6 80  0  0
18  0      0 19582048 334436 4623056    0    0     0    20 48072 110305 15  6 79  0  0
 2  0      0 19582352 334444 4623056    0    0     0    44 48641 115236 15  7 79  0  0
12  0      0 19581108 334444 4623060    0    0     0     4 48129 111072 14  6 80  0  0
 4  0      0 19582580 334444 4623056    0    0     0     0 49196 122721 15  7 78  0  0
 1  0      0 19574440 334444 4623056    0    0     0     0 50135 131556 13  6 80  0  0
 9  0      0 19575108 334444 4623060    0    0     0    12 48546 112986 15  7 78  0  0
 1  1      0 19567628 334620 4622800    0    0     0  1100 49448 117817 15  6 79  0  0
 1  0      0 19566752 337028 4623032    0    0     0 13444 55527 154509 16  7 73  4  0
 2  0      0 19566340 337028 4623132    0    0     0     0 48481 121778 14  7 79  0  0
 1  0      0 19570372 337028 4623132    0    0     0     0 50685 135374 15  7 78  0  0
 2  0      0 19571140 337028 4623136    0    0     0     0 48233 110643 14  6 80  0  0
 1  0      0 19573240 337028 4623136    0    0     0    52 49159 114551 15  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 19575824 337032 4623132    0    0     0    60 48628 110346 15  7 78  0  0
 1  0      0 19574480 337036 4623136    0    0     0     4 47277 106946 14  6 80  0  0
 1  0      0 19565752 337036 4623136    0    0     0     0 48911 125876 14  7 79  0  0
 2  0      0 19566768 337036 4623136    0    0     0     0 47458 109121 14  6 80  0  0
 1  0      0 19567964 337036 4623136    0    0     0     0 47980 112090 14  6 79  0  0
 2  0      0 19571588 337036 4623136    0    0     0     0 47558 107870 15  7 79  0  0
 1  0      0 19568856 337044 4623136    0    0     0    72 48348 120326 13  7 80  0  0
 1  0      0 19564076 337044 4623136    0    0     0     0 49788 129020 15  7 78  0  0
 2  0      0 19565248 337044 4623136    0    0     0     0 49261 113880 14  5 80  0  0
 1  0      0 19567136 337048 4623136    0    0     0    24 49886 116163 14  6 80  0  0
15  0      0 19567596 337048 4623136    0    0     0     0 47903 108551 13  5 81  0  0
 3  0      0 19565564 337056 4623136    0    0     0    40 47751 109087 14  6 80  0  0
 2  0      0 19576808 337056 4604640    0    0     0     0 47967 123943 14  6 81  0  0
 1  0      0 19578032 337056 4604640    0    0     0     0 47949 109870 15  6 79  0  0
 1  0      0 19579052 337056 4604640    0    0     0     4 47642 111535 14  6 81  0  0
16  0      0 19513980 337056 4604640    0    0     0     8 46606 106359 13  6 81  0  0
 1  0      0 19577984 337064 4604640    0    0     0   136 48118 108647 14  6 79  0  0
 1  0      0 19573300 337064 4604640    0    0     0     0 49535 127354 14  7 79  0  0
 2  0      0 19570584 337064 4604640    0    0     0     0 47819 112250 14  6 81  0  0
 1  0      0 19576804 337064 4604640    0    0     0     0 47082 108046 14  6 80  0  0
 1  0      0 19575000 337064 4604640    0    0     0     8 46393 103612 15  6 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  1      0 19575728 337068 4604636    0    0     0    12 47197 113420 14  7 79  0  0
 3  0      0 19539936 337072 4604640    0    0     0     4 48360 127781 15  7 78  0  0
 2  0      0 19544048 337072 4604640    0    0     0     0 47721 108681 15  6 79  0  0
17  0      0 19550440 337072 4604640    0    0     0     0 49373 113295 15  6 78  0  0
 1  0      0 19552408 337072 4604640    0    0     0     0 47990 109373 15  7 79  0  0
 6  0      0 19573904 337072 4604640    0    0     0     8 47740 109022 14  6 79  0  0
 2  0      0 19569352 337080 4604644    0    0     0    24 48398 125532 14  6 80  0  0
15  0      0 19569868 337080 4604644    0    0     0     0 47154 107338 15  6 79  0  0
16  0      0 19571268 337080 4604644    0    0     0     0 46554 107624 14  6 80  0  0
 1  0      0 19570568 337080 4604644    0    0     0     0 46859 106226 14  6 80  0  0
 2  0      0 19569852 337080 4604644    0    0     0    12 47513 105675 14  6 79  0  0
 1  0      0 19562932 337088 4604644    0    0     0    28 49674 128796 14  6 80  0  0
 2  0      0 19563372 337088 4604644    0    0     0     0 48063 111969 14  6 80  0  0
 1  0      0 19549060 337088 4612312    0    0     0     0 26147 51300  8  1 91  0  0
 1  0      0 19541376 337088 4623024    0    0     0     0 20781 36664  6  0 93  0  0
 1  0      0 19526412 337088 4633420    0    0     0     0 20921 36707  7  0 93  0  0
 1  0      0 19633456 337096 4633752    0    0     0  8316 21680 53249  7  1 93  0  0
 2  0      0 19642308 337096 4633752    0    0     0     0 20622 40731  7  0 93  0  0
 1  0      0 19639728 337096 4633752    0    0     0     0 20710 38635  6  0 93  0  0
 1  0      0 19630308 337096 4633752    0    0     0     0 20512 36728  7  0 93  0  0
 1  0      0 19624876 337096 4633752    0    0     0     0 20538 36770  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 19623280 337100 4633748    0    0     0 20176 21735 51789  7  0 93  0  0
 2  0      0 19619360 337104 4633752    0    0     0     4 20811 40460  7  0 93  0  0
 1  0      0 19614428 337104 4633768    0    0     0     0 20750 38924  7  0 93  0  0
 1  0      0 19595496 337104 4633768    0    0     0     0 20466 36670  7  0 93  0  0
 1  0      0 19592160 337104 4633768    0    0     0     0 20358 36785  7  0 93  0  0
 1  0      0 19579016 337104 4633768    0    0     0     0 21640 51967  7  1 93  0  0
 2  0      0 19589792 337112 4633768    0    0     0    40 20511 40811  7  0 93  0  0
 1  0      0 19580792 337112 4633768    0    0     0     0 20803 38512  7  0 93  0  0
 1  0      0 19575716 337112 4633768    0    0     0     4 20322 36754  7  0 93  0  0
 1  0      0 19577400 337112 4633768    0    0     0     0 20334 36802  6  0 93  0  0
 1  0      0 19564212 337112 4633768    0    0     0     0 21867 52421  7  1 93  0  0
 2  0      0 19556628 337120 4633768    0    0     0    32 31236 76353 10  3 87  0  0
 2  0      0 19559828 337216 4633564    0    0     0   700 49359 116464 15  6 78  0  0
10  0      0 19562672 339696 4633708    0    0     0 13848 55382 152709 16  7 72  4  0
 2  0      0 19566204 339696 4633828    0    0     0     0 48507 114999 15  6 79  0  0
 1  0      0 19562460 339696 4633828    0    0     0     0 51253 141960 15  7 78  0  0
 2  0      0 19563520 339696 4633828    0    0     0    44 48519 115264 14  6 80  0  0
 1  0      0 19565488 339696 4633828    0    0     0     0 49238 113554 14  6 80  0  0
 4  0      0 19578228 339696 4633828    0    0     0     0 49345 120705 14  7 79  0  0
11  0      0 19579392 339704 4633828    0    0     0    64 48852 112986 15  6 79  0  0
 8  0      0 19577948 339704 4633828    0    0     0     0 49910 129024 15  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 19577420 339704 4633828    0    0     0     0 48119 112503 14  6 80  0  0
 2  0      0 19578504 339704 4633828    0    0     0     0 47713 110065 14  6 81  0  0
 1  0      0 19579288 339704 4633828    0    0     0     0 47185 107733 14  5 81  0  0
18  0      0 19578096 339712 4633828    0    0     0    72 46804 107107 13  5 82  0  0
 2  0      0 19572108 339712 4633828    0    0     0     0 49637 127071 15  7 79  0  0
 2  0      0 19572064 339712 4633828    0    0     0    20 49077 115365 14  6 79  0  0
17  0      0 19572888 339712 4633828    0    0     0     0 48464 110737 14  6 81  0  0
 1  0      0 19573428 339712 4633832    0    0     0     0 48395 110109 14  7 79  0  0
 4  0      0 19572596 339712 4633832    0    0     0     0 48860 119989 15  7 78  0  0
 8  0      0 19566236 339720 4633832    0    0     0    28 49362 128954 14  6 80  0  0
 2  0      0 19566364 339720 4633832    0    0     0    12 48430 113536 15  7 78  0  0
 1  0      0 19571168 339720 4633836    0    0     0     4 47570 106892 15  7 78  0  0
17  0      0 19571348 339720 4633836    0    0     0     0 48486 108222 14  7 79  0  0
 1  0      0 19569852 339720 4633836    0    0     0     0 48334 108093 14  6 79  0  0
 1  0      0 19562664 339728 4633828    0    0     0    72 50034 127300 15  7 78  0  0
 2  0      0 19559560 339728 4633836    0    0     0     0 48810 115335 15  6 79  0  0
 1  0      0 19563060 339728 4633840    0    0     0    12 48435 109712 15  7 79  0  0
 1  0      0 19566516 339728 4633840    0    0     0     0 47531 106767 14  6 80  0  0
 1  0      0 19566976 339728 4633840    0    0     0     0 47184 107002 14  6 81  0  0
 1  0      0 19555956 339728 4633840    0    0     0    44 48497 123287 15  6 79  0  0
 4  0      0 19556304 339736 4633840    0    0     0    28 48128 115318 14  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19558980 339736 4633840    0    0     0    12 48716 118492 14  7 79  0  0
 1  0      0 19561216 339736 4633840    0    0     0     0 47978 108979 14  6 80  0  0
 2  0      0 19561180 339736 4633840    0    0     0     0 47688 108133 14  6 80  0  0
12  0      0 19550288 339736 4633840    0    0     0     0 49009 127005 14  6 80  0  0
 4  0      0 19550296 339744 4633832    0    0     0    36 48102 113512 14  6 80  0  0
 1  0      0 19554480 339744 4633840    0    0     0     0 47427 106044 14  6 80  0  0
 1  0      0 19554596 339744 4633840    0    0     0     8 47261 106728 13  5 81  0  0
 1  0      0 19554672 339760 4633840    0    0     0    92 47149 105116 14  6 80  0  0
16  0      0 19550756 339760 4633836    0    0     0     0 48841 125910 14  6 80  0  0
 1  0      0 19549472 339760 4633836    0    0     0    52 47999 115547 15  6 80  0  0
 1  0      0 19552108 339760 4633836    0    0     0     0 47708 108979 15  6 80  0  0
 1  0      0 19551208 339760 4633836    0    0     0     8 47986 107592 15  7 79  0  0
 4  0      0 19552340 339768 4633836    0    0     0    16 48124 109144 14  6 79  0  0
 1  0      0 19546272 339768 4633836    0    0     0     0 49447 136926 15  8 78  0  0
 1  0      0 19545536 339768 4633836    0    0     0     0 48114 114477 15  6 79  0  0
 1  0      0 19546820 339768 4633836    0    0     0     0 48025 108812 15  7 79  0  0
 1  0      0 19545732 339768 4633836    0    0     0     0 47187 105547 15  6 79  0  0
 1  0      0 19547856 339768 4633836    0    0     0     8 47414 106238 15  7 78  0  0
 1  0      0 19542048 339776 4633836    0    0     0    16 49069 126137 14  6 80  0  0
 3  0      0 19539776 339776 4633836    0    0     0     0 48893 117007 15  7 78  0  0
 3  0      0 19539488 339776 4633848    0    0     0     0 48710 109722 15  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19537064 339776 4633848    0    0     0     0 48324 109678 15  6 79  0  0
 1  0      0 19544824 339776 4633848    0    0     0     8 47498 106014 14  6 79  0  0
 1  0      0 19536752 339784 4633840    0    0     0    32 48482 124099 14  6 80  0  0
 1  0      0 19535704 339784 4633848    0    0     0     0 47311 113229 14  6 80  0  0
 1  0      0 19538028 339784 4633848    0    0     0    28 47096 104213 14  6 80  0  0
 2  0      0 19536244 339784 4633848    0    0     0     4 46982 106812 14  5 81  0  0
20  0      0 19536144 339784 4633848    0    0     0     0 48242 116359 14  6 80  0  0
 3  0      0 19528816 339784 4633852    0    0     0    24 50422 140050 14  7 79  0  0
 1  0      0 19522620 339824 4635808    0    0     0   264 49328 117991 14  6 79  0  0
 7  1      0 19516080 339920 4633952    0    0     0   684 49431 112906 14  6 80  0  0
 1  0      0 19510908 342416 4633288    0    0     0 14100 56000 161982 16  7 73  4  0
 3  0      0 19513588 342416 4633920    0    0     0     0 47878 115207 14  6 80  0  0
