2025-02-17 13:39:46,211 INFO    MainThread:28652 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /home/chris/Chris/placement_ws/src/wandb/run-20250217_133946-73ahjorf/logs/debug.log
2025-02-17 13:39:46,212 INFO    MainThread:28652 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /home/chris/Chris/placement_ws/src/wandb/run-20250217_133946-73ahjorf/logs/debug-internal.log
2025-02-17 13:39:46,212 INFO    MainThread:28652 [wandb_init.py:init():756] calling init triggers
2025-02-17 13:39:46,212 INFO    MainThread:28652 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'input_dim': 21, 'hidden_dim': 512, 'hidden_layers': 4, 'batch_size': 64, 'num_epochs': 70, 'learning_rate': 1.9798064065645563e-05, 'optimizer': 'adam', 'scheduler_factor': 0.5, 'scheduler_patience': 4, 'train_split': 0.7458704795510667, 'valid_split': 0.09311924785585796, 'seed': 9152, '_wandb': {}}
2025-02-17 13:39:46,212 INFO    MainThread:28652 [wandb_init.py:init():789] starting backend
2025-02-17 13:39:46,212 INFO    MainThread:28652 [wandb_init.py:init():793] sending inform_init request
2025-02-17 13:39:46,212 INFO    MainThread:28652 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-17 13:39:46,212 INFO    MainThread:28652 [wandb_init.py:init():808] backend started and connected
2025-02-17 13:39:46,213 INFO    MainThread:28652 [wandb_init.py:init():901] updated telemetry
2025-02-17 13:39:46,213 INFO    MainThread:28652 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-02-17 13:39:46,720 INFO    MainThread:28652 [wandb_init.py:init():994] starting run threads in backend
2025-02-17 13:39:46,827 INFO    MainThread:28652 [wandb_run.py:_console_start():2385] atexit reg
2025-02-17 13:39:46,828 INFO    MainThread:28652 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-02-17 13:39:46,828 INFO    MainThread:28652 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-02-17 13:39:46,828 INFO    MainThread:28652 [wandb_run.py:_redirect():2325] Redirects installed.
2025-02-17 13:39:46,828 INFO    MainThread:28652 [wandb_init.py:init():1036] run started, returning control to user process
2025-02-17 13:40:00,056 INFO    MainThread:28652 [wandb_run.py:_finish():2110] finishing run itschris-deakin-university/stability-regression/73ahjorf
2025-02-17 13:40:00,056 INFO    MainThread:28652 [wandb_run.py:_atexit_cleanup():2350] got exitcode: 0
2025-02-17 13:40:00,056 INFO    MainThread:28652 [wandb_run.py:_restore():2332] restore
2025-02-17 13:40:00,056 INFO    MainThread:28652 [wandb_run.py:_restore():2338] restore done
2025-02-17 13:40:02,461 INFO    MainThread:28652 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2025-02-17 13:40:02,462 INFO    MainThread:28652 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2025-02-17 13:40:02,462 INFO    MainThread:28652 [wandb_run.py:_footer_sync_info():3924] logging synced files
