procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19754960 310080 4546792    0    0     0     0 48004 109799 13  6 81  0  0
16  0      0 19756460 310080 4546792    0    0     0     0 48455 110903 14  6 80  0  0
 2  0      0 19752764 310080 4546792    0    0     0     0 49721 123208 14  7 80  0  0
 1  0      0 19752492 310080 4546792    0    0     0     0 48523 114989 14  6 80  0  0
 2  0      0 19753272 310080 4546792    0    0     0    12 49220 117536 14  6 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19752292 310088 4546792    0    0     0   104 49130 123473 15  7 78  0  0
 1  0      0 19752396 310088 4546792    0    0     0     0 48672 110982 14  6 79  0  0
 2  0      0 19747968 310088 4546796    0    0     0     0 49715 126032 14  7 79  0  0
18  0      0 19746344 310088 4546796    0    0     0     0 48828 112177 15  7 79  0  0
 1  0      0 19748108 310088 4546796    0    0     0    12 49040 115982 15  6 79  0  0
 1  0      0 19748580 310096 4546796    0    0     0    24 48505 109675 14  7 79  0  0
 1  0      0 19750892 310096 4546796    0    0     0     0 48575 109852 15  7 78  0  0
 2  0      0 19743108 310096 4546796    0    0     0     0 49935 125706 15  7 79  0  0
 1  0      0 19743712 310096 4546796    0    0     0     0 49199 112652 16  7 78  0  0
 1  0      0 19744956 310096 4546796    0    0     0     8 48946 114912 15  6 79  0  0
 1  0      0 19746532 310096 4546796    0    0     0     8 53010 145265 17  8 75  0  0
 1  0      0 19747992 310104 4546796    0    0     0    16 48994 110756 14  7 79  0  0
 3  0      0 19743184 310104 4546796    0    0     0     0 50527 128054 15  7 78  0  0
 3  0      0 19749476 310104 4546800    0    0     0     0 48923 113548 15  7 79  0  0
 1  0      0 19747232 310104 4546800    0    0     0     0 49312 117168 14  6 80  0  0
 1  0      0 19751908 310104 4546800    0    0     0    12 49203 111944 15  7 78  0  0
 1  0      0 19750360 310112 4546800    0    0     0    28 48890 110279 14  6 80  0  0
 2  0      0 19748276 310112 4546800    0    0     0     0 49970 128255 15  6 79  0  0
 4  0      0 19749988 310112 4546800    0    0     0     0 48986 115105 14  6 80  0  0
 1  0      0 19748340 310112 4546800    0    0     0     0 50029 128309 14  8 78  0  0
 1  0      0 19748580 310112 4546800    0    0     0     0 48579 110858 14  6 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 19746760 310120 4546800    0    0     0    24 48771 112283 14  6 80  0  0
 2  0      0 19727304 310120 4555024    0    0     0    16 50795 127643 15  7 78  0  0
 2  0      0 19727764 310120 4555024    0    0     0     0 49657 114114 15  7 78  0  0
 3  0      0 19737016 310120 4555024    0    0     0     0 49604 117667 14  6 80  0  0
 1  0      0 19735492 310120 4555024    0    0     0     0 49171 113003 14  6 80  0  0
 2  0      0 19735768 310120 4555024    0    0     0     8 49269 113575 14  6 80  0  0
 1  0      0 19732512 310128 4555024    0    0     0    16 51280 144026 15  7 78  0  0
17  0      0 19733192 310128 4555028    0    0     0     0 49430 112099 15  7 78  0  0
 2  0      0 19732152 310128 4555028    0    0     0     0 49479 119887 14  6 79  0  0
 2  0      0 19731480 310128 4555028    0    0     0     0 48719 111537 14  6 79  0  0
 1  0      0 19729292 310128 4555028    0    0     0     0 48824 109630 15  7 78  0  0
17  0      0 19725004 310136 4555028    0    0     0    40 50256 128087 15  7 78  0  0
 1  0      0 19692740 310136 4555028    0    0     0     0 49053 110296 14  7 79  0  0
 3  0      0 19720984 310136 4555044    0    0     0     4 49361 115624 14  7 79  0  0
 8  0      0 19721744 310136 4555044    0    0     0     0 49164 117016 14  7 79  0  0
 1  0      0 19697724 310136 4555044    0    0     0     0 49089 117624 15  7 78  0  0
 2  1      0 19695592 310592 4554792    0    0     0  2568 51274 134926 15  7 77  1  0
11  0      0 19692592 312712 4555132    0    0     0 12116 52697 128850 14  7 75  4  0
 8  0      0 19699068 312712 4555132    0    0     0     0 51003 136667 15  7 78  0  0
 1  0      0 19699320 312720 4555132    0    0     0    80 50615 134208 14  7 79  0  0
 1  0      0 19698660 312720 4555132    0    0     0     0 48701 110138 15  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 19695896 312720 4555132    0    0     0     0 50033 128536 14  7 79  0  0
 1  0      0 19700800 312720 4555132    0    0     0    76 50271 133363 16  6 78  0  0
20  0      0 19702476 312720 4555132    0    0     0     0 49733 120192 14  6 80  0  0
 1  0      0 19702124 312728 4555128    0    0     0   136 50060 124084 15  8 77  0  0
 1  0      0 19702984 312728 4555136    0    0     0     0 48996 111928 14  6 80  0  0
 2  0      0 19697660 312728 4555136    0    0     0     0 50453 128623 15  7 78  0  0
 1  0      0 19704876 312728 4555136    0    0     0     0 49648 113305 15  7 78  0  0
 1  0      0 19705020 312728 4555136    0    0     0     0 49747 119500 14  6 80  0  0
 8  0      0 19701916 312736 4555136    0    0     0    32 49666 114852 15  6 79  0  0
 1  0      0 19702456 312736 4555136    0    0     0     0 49470 113565 14  6 80  0  0
10  0      0 19698900 312736 4555136    0    0     0     0 49924 132988 14  7 79  0  0
 1  0      0 19700648 312736 4555136    0    0     0    28 49187 116662 15  7 78  0  0
16  0      0 19697828 312736 4555136    0    0     0     0 49405 117116 15  7 79  0  0
 1  0      0 19699124 312736 4555136    0    0     0     0 48855 111327 14  6 80  0  0
15  0      0 19700408 312744 4555140    0    0     0    28 49075 111393 15  7 79  0  0
 3  0      0 19691624 312744 4555140    0    0     0     0 50942 129778 14  7 80  0  0
 1  0      0 19695208 312744 4555140    0    0     0     4 49792 113035 15  6 79  0  0
 1  0      0 19694956 312744 4555140    0    0     0    12 49814 119166 14  6 80  0  0
 5  0      0 19692716 312744 4555140    0    0     0     0 49011 114528 14  6 80  0  0
 1  0      0 19693624 312752 4555144    0    0     0    68 46701 104515 14  6 79  0  0
 2  0      0 19686264 312752 4555144    0    0     0     0 50557 130853 14  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19689328 312752 4555144    0    0     0     0 49453 111429 15  7 78  0  0
 1  0      0 19690148 312752 4555144    0    0     0     0 49840 118557 15  7 78  0  0
 1  0      0 19692204 312752 4555144    0    0     0     8 49612 111893 16  8 77  0  0
 2  0      0 19689648 312752 4555148    0    0     0     0 49249 112727 14  6 80  0  0
 2  0      0 19682392 312760 4555148    0    0     0    80 50369 129378 15  7 78  0  0
 1  0      0 19686504 312760 4555148    0    0     0     0 49799 113946 14  7 79  0  0
 4  0      0 19684620 312760 4555148    0    0     0     0 50026 122993 14  7 78  0  0
 1  0      0 19684852 312760 4555148    0    0     0    16 49463 118401 15  8 77  0  0
 3  0      0 19685264 312760 4555148    0    0     0     0 48694 111835 14  6 80  0  0
 2  0      0 19678688 312768 4555148    0    0     0    28 50175 129178 14  7 79  0  0
 1  0      0 19679380 312768 4555148    0    0     0     0 49563 113493 14  7 79  0  0
 1  0      0 19679136 312784 4555148    0    0     0    92 49370 118955 14  6 80  0  0
 1  0      0 19678504 312784 4555148    0    0     0     0 49183 113542 14  6 80  0  0
 1  0      0 19680460 312784 4555148    0    0     0     8 50008 113905 15  7 78  0  0
18  0      0 19672204 312784 4555148    0    0     0    40 51401 143462 15  8 77  0  0
 4  0      0 19674528 312784 4555148    0    0     0     0 50198 120938 15  7 79  0  0
 1  0      0 19674496 312784 4555148    0    0     0     0 50341 120742 15  6 79  0  0
 1  0      0 19674052 312792 4555148    0    0     0    16 49595 113490 15  6 79  0  0
 8  0      0 19674092 312792 4555148    0    0     0     0 49065 112606 14  5 81  0  0
 5  0      0 19670876 312792 4555148    0    0     0     8 51360 131097 15  7 78  0  0
 1  0      0 19670176 312792 4555148    0    0     0     0 49857 114541 14  6 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 19669092 312792 4555148    0    0     0     0 50785 133667 15  8 77  0  0
 7  0      0 19668992 312800 4555148    0    0     0    16 49218 113683 14  6 80  0  0
 1  0      0 19672124 312800 4555148    0    0     0     0 53050 134794 16  7 77  0  0
 3  0      0 19665780 312800 4555160    0    0     0     0 51727 135122 15  7 78  0  0
 2  0      0 19668136 312804 4555164    0    0     0    12 49170 112368 15  6 78  0  0
 1  0      0 19673184 312804 4555164    0    0     0     0 49685 117898 15  7 79  0  0
 1  0      0 19672584 312804 4555164    0    0     0     0 49041 110296 15  7 78  0  0
 9  0      0 19674392 312812 4555168    0    0     0    96 50064 120299 15  7 77  0  0
 3  0      0 19670240 312812 4555168    0    0     0     0 51638 141423 15  7 78  0  0
 3  0      0 19670516 312812 4555168    0    0     0    36 49390 113306 15  7 79  0  0
 1  0      0 19669664 312812 4555168    0    0     0     4 50248 121285 14  7 79  0  0
 1  0      0 19670868 312812 4555168    0    0     0     0 49532 112773 15  6 79  0  0
 2  0      0 19661316 312820 4555168    0    0     0    52 49739 116726 15  6 79  0  0
 1  1      0 19654412 313252 4554924    0    0     0  2484 52386 139467 15  7 77  1  0
21  0      0 19647488 315436 4554968    0    0     0 12356 54552 140314 14  7 74  4  0
17  0      0 19646092 315436 4555232    0    0     0     0 52100 153308 16  7 77  0  0
 1  0      0 19650372 315436 4555236    0    0     0     0 51152 135709 14  7 79  0  0
 6  0      0 19652912 315436 4555236    0    0     0     0 49484 113811 14  7 79  0  0
 1  0      0 19648696 315436 4555236    0    0     0    64 51004 132456 14  7 80  0  0
 2  0      0 19657580 315436 4555240    0    0     0     0 49541 114932 15  6 79  0  0
 2  0      0 19658760 315444 4555240    0    0     0    68 50568 119994 15  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 19659084 315444 4555240    0    0     0     0 49359 113959 14  6 80  0  0
 2  0      0 19656108 315444 4555240    0    0     0     0 50671 124808 15  7 78  0  0
 1  0      0 19648768 315468 4555240    0    0     0   144 50773 131771 15  7 78  0  0
 2  0      0 19653228 315468 4555240    0    0     0     0 49264 114673 15  6 79  0  0
17  0      0 19650948 315468 4555240    0    0     0    28 50115 117196 15  7 78  0  0
16  0      0 19651812 315468 4555240    0    0     0     0 49326 111535 15  6 79  0  0
 8  0      0 19649684 315468 4555240    0    0     0     0 48878 110857 14  6 79  0  0
 1  0      0 19647240 315476 4555232    0    0     0    76 50636 130973 14  6 79  0  0
 9  0      0 19645648 315476 4555244    0    0     0     0 49567 127427 14  7 79  0  0
 1  0      0 19646748 315476 4555244    0    0     0    60 49938 118012 15  6 79  0  0
 2  0      0 19646420 315476 4555244    0    0     0     0 49384 112285 15  7 78  0  0
16  0      0 19648708 315476 4555244    0    0     0     0 49457 111621 15  7 78  0  0
 1  0      0 19645544 315500 4555232    0    0     0   232 50884 129277 15  7 78  0  0
 2  0      0 19644668 315500 4555232    0    0     0     4 49195 113761 15  6 80  0  0
 1  0      0 19646364 315500 4555232    0    0     0     0 50600 120940 15  7 78  0  0
 4  0      0 19613724 315500 4555232    0    0     0     8 48981 117498 14  7 79  0  0
 1  0      0 19618028 315500 4555232    0    0     0     0 50244 121712 14  7 79  0  0
 1  0      0 19610728 315500 4555232    0    0     0     0 51082 132415 15  7 78  0  0
 2  0      0 19638296 315508 4555232    0    0     0    52 49857 114140 15  7 79  0  0
 1  0      0 19638000 315508 4555232    0    0     0     0 50123 117887 15  7 78  0  0
16  0      0 19639508 315508 4555232    0    0     0     0 48865 112345 15  6 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 19599132 315508 4555232    0    0     0     8 48655 108829 14  6 80  0  0
 3  0      0 19606860 315508 4555232    0    0     0     0 50721 131687 15  6 79  0  0
18  0      0 19610876 315516 4555224    0    0     0    52 49844 127232 14  7 79  0  0
18  0      0 19615676 315516 4555232    0    0     0     0 49363 116417 13  6 81  0  0
16  0      0 19616376 315516 4555232    0    0     0     0 49280 111271 14  7 79  0  0
 1  0      0 19632648 315516 4555232    0    0     0     0 49375 114201 14  6 80  0  0
 1  0      0 19626344 315516 4555236    0    0     0    12 50877 129612 14  6 80  0  0
 2  0      0 19627348 315516 4555236    0    0     0     0 49296 115093 15  6 79  0  0
 1  0      0 19628136 315532 4555236    0    0     0    76 50167 118537 15  6 79  0  0
 2  0      0 19627892 315532 4555236    0    0     0     0 50331 127933 15  7 78  0  0
 2  0      0 19628264 315532 4555236    0    0     0     0 49445 112144 14  6 80  0  0
 1  0      0 19617328 315532 4558180    0    0     0  2280 40485 93503 12  4 84  0  0
 2  0      0 19599148 315532 4569356    0    0     0     0 21439 39050  7  0 93  0  0
 1  0      0 19577396 315540 4580436    0    0     0    84 21628 40985  6  0 93  0  0
 1  0      0 19684000 315540 4585364    0    0     0     0 21032 37245  7  0 93  0  0
 1  0      0 19684300 315540 4585364    0    0     0     0 20512 36957  7  0 93  0  0
 1  0      0 19683088 315540 4585364    0    0     0     0 21859 52310  7  1 93  0  0
 2  0      0 19683672 315540 4585368    0    0     0     0 20988 39073  7  0 93  0  0
 1  0      0 19676868 315548 4585360    0    0     0    24 21227 40807  7  0 93  0  0
 2  0      0 19668480 315548 4585368    0    0     0     0 20634 36976  7  0 93  0  0
 1  0      0 19669080 315548 4585368    0    0     0     0 20654 37114  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19655004 315548 4585368    0    0     0     0 22131 52513  7  0 93  0  0
 2  0      0 19668692 315552 4585372    0    0     0  4112 21150 39451  7  0 93  0  0
 1  0      0 19664332 315552 4585372    0    0     0     0 21245 40786  7  0 93  0  0
 1  0      0 19657236 315560 4585372    0    0     0   108 20782 36967  7  0 93  0  0
 1  0      0 19649728 315560 4585372    0    0     0     0 20741 36969  7  0 93  0  0
 1  0      0 19638936 315560 4585372    0    0     0     0 21987 52469  7  1 93  0  0
 2  0      0 19638968 315560 4585372    0    0     0 22952 21089 39116  7  0 93  0  0
 1  0      0 19629372 315560 4585372    0    0     0     4 21244 40832  7  0 93  0  0
 1  0      0 19629300 315568 4585364    0    0     0    36 20722 36788  7  0 93  0  0
 1  0      0 19631432 315568 4585364    0    0     0     0 20759 37037  7  0 93  0  0
 1  1      0 19628052 315896 4585252    0    0     0  1896 41401 110330 12  4 83  1  0
 3  0      0 19618708 318144 4585408    0    0     0 12800 55595 154218 16  6 74  4  0
 1  0      0 19628508 318144 4585432    0    0     0     0 50310 129054 15  6 79  0  0
20  0      0 19632248 318144 4585432    0    0     0    28 51019 148263 15  8 77  0  0
 1  0      0 19630436 318144 4585432    0    0     0     0 48747 112983 14  6 81  0  0
17  0      0 19626412 318144 4585432    0    0     0     0 50460 130245 14  6 80  0  0
 2  0      0 19632064 318144 4585432    0    0     0     0 48753 113548 14  6 80  0  0
17  0      0 19628532 318152 4585432    0    0     0    68 49584 115564 15  6 79  0  0
 1  0      0 19631776 318152 4585432    0    0     0     0 48615 111392 14  6 80  0  0
 1  0      0 19631492 318152 4585432    0    0     0     0 48136 110062 15  6 79  0  0
 2  0      0 19633712 318164 4585432    0    0     4    44 50136 130274 14  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 19633660 318164 4585432    0    0     0     0 48972 113934 14  6 80  0  0
 6  0      0 19634096 318164 4585432    0    0     0    48 50044 128345 16  8 76  0  0
 1  0      0 19631500 318164 4585432    0    0     0     0 49585 113503 15  7 79  0  0
 1  0      0 19631304 318164 4585432    0    0     0     0 49266 112237 14  6 80  0  0
 2  0      0 19628360 318164 4585432    0    0     0     0 50280 130572 14  7 79  0  0
 7  0      0 19628876 318172 4585436    0    0     0   220 50074 115217 15  7 77  0  0
 1  0      0 19629612 318172 4585436    0    0     0     0 49726 117765 14  6 80  0  0
 2  0      0 19630160 318172 4585440    0    0     0     0 49179 112356 15  7 78  0  0
 5  0      0 19627784 318172 4585440    0    0     0     0 49895 122281 15  8 77  0  0
 1  0      0 19624020 318172 4585456    0    0     0     0 50968 132989 14  7 78  0  0
 1  0      0 19623952 318180 4585456    0    0     0    96 49315 113580 14  6 80  0  0
 1  0      0 19625516 318180 4585460    0    0     0     0 49933 117120 15  7 77  0  0
 1  0      0 19624268 318180 4585460    0    0     0     0 49015 113393 15  6 79  0  0
 1  0      0 19625020 318180 4585460    0    0     0     0 48529 109624 14  6 80  0  0
 1  0      0 19617000 318180 4585460    0    0     0     0 50419 129573 14  7 79  0  0
21  0      0 19619400 318188 4585460    0    0     0    72 48934 111712 15  6 79  0  0
 4  0      0 19622696 318188 4585460    0    0     0    12 48970 116515 14  7 79  0  0
 1  0      0 19622176 318188 4585460    0    0     0     0 49905 125930 14  7 79  0  0
 1  0      0 19619812 318188 4585460    0    0     0     0 49072 113609 14  6 80  0  0
 1  0      0 19613520 318188 4585464    0    0     0     0 50010 130329 14  6 79  0  0
 6  0      0 19612456 318188 4585464    0    0     0     0 49216 114407 15  6 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 19617644 318196 4585464    0    0     0    88 49758 115150 14  6 79  0  0
 1  0      0 19615300 318196 4585464    0    0     0    12 49211 111934 15  6 78  0  0
 1  0      0 19617636 318196 4585464    0    0     0     0 48477 109164 15  6 79  0  0
 4  0      0 19606372 318196 4585464    0    0     0     0 50457 132251 15  7 78  0  0
 1  0      0 19606508 318196 4585464    0    0     0     0 49963 127091 15  7 78  0  0
 1  0      0 19608716 318204 4585460    0    0     0    28 49157 113937 14  6 80  0  0
13  0      0 19606860 318204 4585464    0    0     0     0 48806 111700 15  6 79  0  0
 1  0      0 19610148 318204 4585464    0    0     0     8 49321 114390 14  6 79  0  0
 2  0      0 19607060 318204 4585464    0    0     0     0 51230 133506 15  7 79  0  0
11  0      0 19605476 318204 4585464    0    0     0     8 49577 114388 15  7 79  0  0
 1  0      0 19608656 318204 4585464    0    0     0    12 48905 113178 15  6 79  0  0
 4  0      0 19605236 318212 4585464    0    0     0    16 49600 118311 15  8 77  0  0
 1  0      0 19605060 318212 4585464    0    0     0     8 48947 118177 15  7 78  0  0
 5  0      0 19597812 318212 4585464    0    0     0     0 50298 130572 15  7 78  0  0
 3  0      0 19596424 318212 4585464    0    0     0     0 49438 115227 15  7 79  0  0
14  0      0 19600488 318212 4585464    0    0     0     0 49502 115374 15  7 79  0  0
 1  0      0 19601236 318220 4585464    0    0     0    16 49336 112908 15  7 78  0  0
 1  0      0 19596772 318220 4585464    0    0     0     0 49259 112317 14  6 79  0  0
 1  0      0 19592460 318220 4585464    0    0     0     8 50788 129050 15  7 78  0  0
 2  0      0 19593228 318220 4585464    0    0     0     0 49462 116372 14  6 79  0  0
 1  0      0 19592596 318220 4585464    0    0     0     0 50132 128691 14  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  1      0 19595300 318228 4585456    0    0     0    16 48627 110828 14  6 80  0  0
 3  0      0 19595820 318228 4585464    0    0     0     4 48897 112373 14  6 80  0  0
 2  0      0 19588904 318228 4585464    0    0     0     0 50640 131044 14  7 79  0  0
 2  0      0 19588752 318228 4585464    0    0     0     8 49514 116567 14  6 79  0  0
 1  0      0 19589636 318228 4585464    0    0     0     4 49661 115323 15  6 79  0  0
 1  0      0 19592140 318228 4585464    0    0     0     0 49254 113243 14  6 80  0  0
 1  0      0 19592432 318236 4585464    0    0     0    32 49137 111361 15  6 79  0  0
10  1      0 19573940 318524 4585296    0    0     0  1680 53992 160541 16  7 76  0  0
19  0      0 19571216 320820 4585408    0    0     0 13000 53527 138494 15  7 74  4  0
 2  0      0 19577156 320820 4585548    0    0     0     0 49767 125886 15  6 79  0  0
 1  0      0 19582280 320820 4585564    0    0     0     0 50530 131733 15  7 79  0  0
 1  0      0 19585568 320820 4585564    0    0     0    32 48585 111217 14  6 80  0  0
