procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 23623368 304664 4521492    0    0    66    21   16  411  8  4 88  0  0
 2  1      0 23247692 305256 4529684    0    0     0  3416 16255 26339  6  5 88  1  0
 3  0      0 21958336 307320 4530212    0    0     0 11692 24522 36780  6 10 80  4  0
 2  0      0 21747268 307320 4530680    0    0     0     0 24967 112708  6 13 81  0  0
 2  0      0 21607476 307320 4531064    0    0     0     0 32783 72317 11  8 81  0  0
 1  0      0 21468916 307320 4531496    0    0     0     0 37334 83032  5  8 87  0  0
 2  0      0 21286592 307392 4533900    0    0     0   464 24088 50776  1  7 92  0  0
 4  0      0 20719292 307392 4542584    0    0   128  2944 31066 48094  7  7 86  0  0
 2  0      0 20029756 307392 4542584    0    0     0     0 36838 52928 19  4 77  0  0
 1  0      0 19834176 307392 4542588    0    0     0    20 28563 50527  6  3 91  0  0
 0  0      0 19935056 307392 4542588    0    0     0     0 19983 38273  1  0 99  0  0
 2  0      0 19873784 307400 4542588    0    0     0   104 28019 75116  9  4 87  0  0
 1  0      0 19869636 307400 4542588    0    0     0     0 21417 43207  7  0 93  0  0
 2  0      0 19854080 307400 4542588    0    0     0     0 21319 43045  7  0 93  0  0
 1  0      0 19848844 307400 4542588    0    0     0     0 20790 37099  7  0 93  0  0
 1  0      0 19840172 307400 4542588    0    0     0     0 20849 37241  7  0 93  0  0
 2  0      0 19827128 307400 4542588    0    0     0   352 22469 47721  7  0 93  0  0
 2  0      0 19824092 307408 4542588    0    0     0   592 21227 42605  7  0 93  0  0
 1  0      0 19814832 307408 4542588    0    0     0     0 21281 43116  7  0 93  0  0
 1  0      0 19807024 307408 4542588    0    0     0     0 20942 37092  7  0 93  0  0
 2  0      0 19798584 307408 4542588    0    0     0     0 21080 37223  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 19839256 307408 4542588    0    0     0     0 25353 48477  8  1 91  0  0
 2  0      0 19831676 307424 4542592    0    0     0    80 21741 43542  7  0 93  0  0
 1  0      0 19815164 307424 4542592    0    0     0     4 21839 44253  7  0 93  0  0
 2  0      0 19827692 307424 4542592    0    0     0     0 24801 37899  8  0 92  0  0
 1  0      0 19820360 307424 4542592    0    0     0     0 21028 37515  7  0 93  0  0
 2  0      0 19821904 307424 4542592    0    0     0     0 22261 48132  7  1 93  0  0
 1  0      0 19817816 307424 4542592    0    0     0    28 21136 42139  7  0 93  0  0
 1  0      0 19818792 307432 4542576    0    0     0    60 32264 78334 10  3 87  0  0
 1  0      0 19835528 307432 4542576    0    0     0     0 48785 112295 15  6 79  0  0
 3  0      0 19836880 307432 4542576    0    0     0     0 48618 110053 14  6 80  0  0
 2  0      0 19828592 307432 4542576    0    0     0     0 50019 123009 15  6 79  0  0
 1  0      0 19828568 307432 4542576    0    0     0    28 49844 118788 15  7 79  0  0
 1  0      0 19830420 307440 4542584    0    0     0    84 49675 118712 15  7 78  0  0
 5  0      0 19828024 307448 4542592    0    0     0    20 49554 118953 14  7 78  0  0
 1  0      0 19825832 307448 4542592    0    0     0     0 49870 118967 15  7 79  0  0
 2  0      0 19823596 307448 4542592    0    0     0     0 50096 124625 15  7 78  0  0
17  0      0 19823804 307448 4542592    0    0     0     0 49989 118074 15  7 78  0  0
 1  0      0 19823740 307448 4542596    0    0     0    20 50088 117785 15  7 78  0  0
19  0      0 19815300 307456 4542588    0    0     0    80 49006 112573 15  7 78  0  0
 1  0      0 19819392 307456 4542596    0    0     0     0 49157 112257 15  7 79  0  0
 2  0      0 19816664 307456 4542596    0    0     0     0 50476 125146 15  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19817424 307456 4542596    0    0     0     0 49207 114974 14  6 79  0  0
 1  0      0 19815752 307456 4542600    0    0     0     0 49627 118888 15  7 79  0  0
 1  0      0 19814280 307456 4542600    0    0     0     0 49698 125256 15  7 77  0  0
 1  0      0 19811404 307464 4546712    0    0     0    64 48903 112960 14  6 80  0  0
 2  0      0 19807980 307464 4546712    0    0     0     0 49786 122235 15  7 78  0  0
 1  0      0 19807992 307464 4546712    0    0     0     0 49112 117035 14  6 79  0  0
 2  0      0 19807752 307464 4546712    0    0     0     0 48949 115919 14  7 79  0  0
 1  0      0 19807596 307464 4546712    0    0     0     0 48115 109806 14  6 80  0  0
 1  0      0 19791728 307472 4546712    0    0     0    32 48528 110260 14  6 80  0  0
 2  0      0 19795156 307472 4546712    0    0     0     0 49353 123300 14  6 81  0  0
16  0      0 19797324 307472 4546712    0    0     0     0 49275 116320 14  6 79  0  0
 1  0      0 19797348 307472 4546712    0    0     0     0 49896 119105 14  6 80  0  0
 4  0      0 19792780 307472 4546716    0    0     0     0 49439 119120 14  6 79  0  0
 1  0      0 19794944 307472 4546716    0    0     0     0 48689 116031 14  6 80  0  0
 2  0      0 19787808 307480 4546716    0    0     0    44 50283 126026 14  6 80  0  0
 1  0      0 19790556 307480 4546716    0    0     0     0 48703 114359 15  6 79  0  0
 1  0      0 19789768 307480 4546716    0    0     0     4 48764 116635 14  6 80  0  0
 1  0      0 19787592 307480 4546716    0    0     0     0 48384 109371 14  6 80  0  0
 2  0      0 19787728 307480 4546716    0    0     0     0 49075 111987 14  7 79  0  0
 2  1      0 19775704 308032 4546556    0    0     0  3136 51596 129462 16  7 76  1  0
 2  0      0 19775508 310056 4546648    0    0     0 11456 52675 128628 14  7 75  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 19774908 310056 4546788    0    0     0     0 50332 138212 14  7 78  0  0
 1  0      0 19777432 310056 4546788    0    0     0     0 50936 142059 14  8 78  0  0
 1  0      0 19778816 310056 4546788    0    0     0     0 48058 110521 14  6 79  0  0
11  0      0 19774988 310056 4546788    0    0     0    28 49624 124343 15  7 78  0  0
 1  0      0 19781420 310064 4546788    0    0     0    80 49271 116465 15  7 79  0  0
16  0      0 19781232 310064 4546788    0    0     0     0 49650 119196 15  6 78  0  0
 1  0      0 19781360 310064 4546788    0    0     0     0 48834 111716 15  6 79  0  0
 1  0      0 19778944 310064 4546788    0    0     0     0 48944 111561 14  6 80  0  0
 2  0      0 19777360 310064 4546788    0    0     0     0 49674 122266 15  6 79  0  0
 3  0      0 19776680 310064 4546788    0    0     0    64 48985 114933 15  6 79  0  0
 4  0      0 19759132 310072 4546788    0    0     0    16 48859 118323 14  6 80  0  0
 1  0      0 19759828 310072 4546788    0    0     0     0 48723 119421 15  7 78  0  0
15  0      0 19758708 310072 4546792    0    0     0     0 48312 110351 14  6 80  0  0
 2  0      0 19753084 310072 4546792    0    0     0     0 49485 125011 14  7 80  0  0
 1  0      0 19758496 310072 4546792    0    0     0    24 48659 113786 14  6 80  0  0
 9  0      0 19754696 310080 4546784    0    0     0    32 48890 116505 14  6 80  0  0
