procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 24344988 248280 3982228    0    0    95    20  588  153  9  5 86  0  0
 2  0      0 23963416 248280 3993728    0    0     0    56 11422 22800  4  5 91  0  0
 3  0      0 22601852 248296 3994208    0    0     0   220 21916 24148  8 10 82  0  0
 3  0      0 22402560 248296 3994688    0    0     0     0 23116 91052  6 12 82  0  0
 3  0      0 22293992 248296 3991984    0    0     0     0 30566 51117 11  7 82  0  0
 1  0      0 22165100 248296 3992596    0    0     0     4 41663 99296  6  8 86  0  0
 1  0      0 21974712 248364 3997064    0    0     0   472 28533 56370  2  7 90  0  0
17  0      0 21374080 248368 4003568    0    0   128  3068 29997 41548  8  7 86  0  0
 1  0      0 20697740 248368 4003584    0    0     0     0 34647 60376 18  4 78  0  0
 0  0      0 20588432 248368 4003592    0    0     0    20 28965 52681  6  3 91  0  0
 1  0      0 20617288 248368 4003592    0    0     0     0 19841 47029  0  0 99  0  0
 1  0      0 20549992 248376 4003592    0    0     0   184 27585 80404 10  4 86  0  0
 1  0      0 20608432 248376 4003592    0    0     0   172 20445 36604  7  0 93  0  0
 1  0      0 20595396 248376 4003592    0    0     0     0 20229 36301  6  0 93  0  0
 1  0      0 20590652 248376 4003592    0    0     0     0 20415 36260  7  0 93  0  0
 1  0      0 20579132 248376 4003592    0    0     0     0 21407 47081  7  0 93  0  0
 2  0      0 20568492 248376 4003592    0    0     0     0 22143 47806  7  0 93  0  0
 3  0      0 20559456 248384 4003592    0    0     0   616 21624 38417  7  0 93  0  0
 3  0      0 20551124 248384 4005768    0    0     0     4 23309 41073  7  0 93  0  0
 1  0      0 20524508 248384 4005768    0    0     0     0 23220 40080  7  0 93  0  0
 3  0      0 20517456 248384 4003592    0    0     0     0 21591 46989  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 20506892 248384 4003592    0    0     0     0 21572 47487  7  0 93  0  0
 1  0      0 20499352 248384 4003592    0    0     0     0 19978 36110  7  0 93  0  0
 2  0      0 20486912 248392 4005768    0    0     0    20 22578 39684  7  0 93  0  0
 1  0      0 20475172 250120 4008692    0    0     0  9992 29983 46144  9  1 87  3  0
 1  0      0 20476820 250120 4006720    0    0     0     0 22325 48302  7  0 93  0  0
 1  0      0 20470460 250120 4006720    0    0     0     0 22940 48692  7  1 92  0  0
 3  0      0 20460332 250120 4003648    0    0     0     0 23433 41045  7  0 93  0  0
 4  0      0 20469568 250120 4003648    0    0     0    28 39777 89941 11  4 85  0  0
 4  0      0 20490908 250128 4003652    0    0     0    68 53106 129772 16  7 77  0  0
 1  0      0 20490808 250128 4003660    0    0     0     0 53848 135622 16  7 77  0  0
10  0      0 20488036 250128 4005836    0    0     0     0 54003 143340 15  6 78  0  0
 2  0      0 20490272 250128 4005836    0    0     0     0 52793 131300 15  6 79  0  0
 1  0      0 20480440 250128 4005836    0    0     0   148 50266 118104 15  6 78  0  0
 1  0      0 20478736 250128 4005836    0    0     0     0 51887 124059 15  6 79  0  0
