# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     35      -      4      2      0      0      0      0    405    210    384     21      0 
    0      7     36      -      4      2      0      0      0      0  11501   2595    727     25      0 
    0     45     37      -      2      0      0      0      0      0  11501   2775    860     45      0 
    0     57     37      -     20      0      0      0      0      0  11501   2775    851     45      0 
    0     57     38      -     26      0      0      0      0      0  11501   2775    884     45      0 
    0     58     38      -     26      0      0      0      0      0  11501   2775    887     45      0 
    0     58     38      -      1      0      0      0      0      0  11501   2775    821     63      0 
    0     56     38      -     16      0      0      0      0      0  11501   2775    864     63      0 
    0     52     37      -      7      0      0      0      0      0  11501   2775   3054     63      0 
    0     56     38      -      9      1      0      0      0      0  11501   2595   3084     63      0 
    0     41     37      -      0      0      0      0      0      0  11501   2595   3084     63      0 
    0     44     37      -     22      7      0      0      0      0  11501   2595   3601     63      0 
    0     41     37      -      0      0      0      0      0      0  11501   2595   3600     63      0 
    0     40     37      -      0      0      0      0      0      0  11501   2595   3600     63      0 
    0     40     37      -      0      0      0      0      0      0  11501   2595   3600     63      0 
    0     40     37      -      0      0      0      0      0      0  11501   2595   3601     63      0 
    0     40     37      -      0      0      0      0      0      0  11501   2595   3601     63      0 
    0     40     37      -      0      0      0      0      0      0  11501   2595   3601     63      0 
    0     41     37      -      4      0      0      0      0      0  11501   2595   3596     63      0 
    0     41     37      -      0      0      0      0      0      0  11501   2595   3596     63      0 
    0     40     37      -      0      0      0      0      0      0  11501   2595   3596     63      0 
    0     40     37      -      0      0      0      0      0      0  11501   2595   3596     63      0 
    0     40     37      -      0      0      0      0      0      0  11501   2595   3595     63      0 
    0     40     37      -      0      0      0      0      0      0  11501   2595   3599     63      0 
    0     41     37      -      7      0      0      0      0      0  11501   2595   3610     63      0 
    0     40     37      -      1      0      0      0      0      0  11501   2595   3607     63      0 
    0     22     36      -     87      5      0      0      0      0  11501   1665   3607     63      0 
    0     19     36      -      4      1      0      0      0      0    810    675   3631     63      0 
    0     14     36      -     22      7      0      0      0      0    405    390   3629     63      0 
    0      8     36      -     18      2      0      0      0      0    405    285   3634     63      0 
    0      9     36      -     24      4      0      0      0      0    405    390   3625     63      0 
    0      9     36      -     37     13      0      0      0      0    405    375   3634     63      0 
    0     12     36      -      5      2      0      0      0      0    810    420   3634     63      0 
    0     12     36      -      5      2      0      0      0      0    810    420   3634     63      0 
    0      7     36      -     31     14      0      0      0      0    405    210   3623     63      0 
    0      7     36      -     12      6      0      0      0      0    405    210   3623     63      0 
    0      7     36      -     10      3      0      0      0      0    405    210   3622     63      0 
    0      7     36      -     48     24      0      0      0      0    405    210   3615     63      0 
    0      8     36      -     38     15      0      0      0      0    405    270   3607     63      0 
    0      8     36      -     46     14      0      0      0      0    405    270   3606     63      0 
    0      7     36      -     38     12      0      0      0      0    405    255   3607     63      0 
    0      7     36      -     29     12      0      0      0      0    405    255   3607     63      0 
    0      7     36      -     29      6      0      0      0      0    405    210   3606     63      0 
    0      7     36      -     12      2      0      0      0      0    405    210   3606     63      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      6     36      -      8      1      0      0      0      0    405    210   3612     63      0 
    0      7     36      -     28      6      0      0      0      0    405    255   3610     63      0 
    0      8     36      -      7      2      0      0      0      0    405    255   3619     63      0 
    0      8     36      -     27     10      0      0      0      0    405    210   3621     63      0 
    0      9     36      -     44     20      0      0      0      0    405    255   3635     63      0 
    0      8     36      -     18      4      0      0      0      0    405    270   3638     63      0 
    0      7     36      -      7      1      0      0      0      0    405    210   3635     63      0 
    0      7     36      -      6      1      0      0      0      0    405    240   3632     63      0 
    0      8     36      -     18      6      0      0      0      0    405    255   3633     63      0 
    0     11     36      -     64     20      0      0      0      0    810    465   3627     63      0 
    0     14     36      -      4      1      0      0      0      0    810    465   3622     63      0 
    0     13     36      -     13      5      0      0      0      0    810    465   3622     63      0 
    0     28     37      -      7      0      0      0      0      0    810    480   3635     64      0 
    0     40     37      -      9      1      0      0      0      0  11501   2595   3753     64      0 
    0     42     37      -      8      1      0      0      0      0  11501   2595   3760     66      0 
    0     42     37      -      7      1      0      0      0      0  11501   2595   3760     66      0 
    0     39     36      -      5      0      0      0      0      0    810    840   3760     66      0 
    0     23     37      -     19      6      0      0      0      0  11501   2595   3797     67      0 
    0     41     37      -      3      0      0      0      0      0  11501   2595   3799     67      0 
    0     40     37      -      2      0      0      0      0      0  11501   2595   3799     67      0 
    0     38     36      -      2      0      0      0      0      0    810    690   3799     67      0 
    0     15     36      -      5      2      0      0      0      0    810    450   3799     67      0 
    0      9     36      -     13      4      0      0      0      0    405    285   3799     67      0 
    0      8     36      -     38     15      0      0      0      0  11501   2595   3657     67      0 
    0     30     37      -      4      0      0      0      0      0  11501   2595   3624     63      0 
    0     43     37      -      7      1      0      0      0      0   5001   1080   3623     63      0 
    0     27     36      -      8      1      0      0      0      0   5001    720   3623     63      0 
    0     22     36      -      3      0      0      0      0      0    810    480   3621     63      0 
    0     16     36      -     14      4      0      0      0      0    810    315   3622     63      0 
    0     10     36      -      8      2      0      0      0      0    405    210   3619     63      0 
    0      8     36      -     30     11      0      0      0      0    405    210   3620     63      0 
    0      8     36      -     10      3      0      0      0      0    405    210   3620     63      0 
    0      7     36      -     17      5      0      0      0      0    405    210   3618     63      0 
    0      9     36      -     45     21      0      0      0      0    405    285   3614     63      0 
    0      9     36      -     45     18      0      0      0      0    405    285   3614     63      0 
    0      8     36      -     16      6      0      0      0      0    405    210   3615     63      0 
    0      7     36      -     23      7      0      0      0      0    405    210   3605     63      0 
    0      7     36      -     19      6      0      0      0      0    405    225   3605     63      0 
    0      8     36      -     20      8      0      0      0      0    405    225   3605     63      0 
    0      8     36      -     19      7      0      0      0      0    405    210   3611     63      0 
    0      7     36      -     19      6      0      0      0      0    405    210   3614     63      0 
    0      7     36      -     23      8      0      0      0      0    405    210   3614     63      0 
    0      7     36      -     19      7      0      0      0      0    405    210   3612     63      0 
    0      7     36      -      8      2      0      0      0      0    405    210   3613     63      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0      8     36      -     21      8      0      0      0      0    405    210   3613     63      0 
    0      7     36      -     21      9      0      0      0      0    405    210   3613     63      0 
    0      7     36      -     32     14      0      0      0      0    405    210   3613     63      0 
    0      7     36      -     16      6      0      0      0      0    405    210   3611     63      0 
    0      7     36      -     16      7      0      0      0      0    405    210   3611     63      0 
    0      7     36      -     36     17      0      0      0      0    405    210   3607     63      0 
    0      7     36      -     26      8      0      0      0      0    405    210   3605     63      0 
    0      8     36      -     17      6      0      0      0      0    405    210   3611     63      0 
    0      7     36      -      8      1      0      0      0      0    405    210   3611     63      0 
    0      7     36      -      8      1      0      0      0      0    405    210   3610     63      0 
    0      7     36      -     15      5      0      0      0      0    405    210   3609     63      0 
    0      7     36      -      8      2      0      0      0      0    405    210   3609     63      0 
    0      7     36      -      8      1      0      0      0      0    405    210   3609     63      0 
    0      7     36      -     25      8      0      0      0      0    405    210   3607     63      0 
    0      7     36      -     11      3      0      0      0      0    405    210   3603     63      0 
    0      7     36      -      8      1      0      0      0      0    405    210   3603     63      0 
    0      7     36      -     19      7      0      0      0      0    405    210   3603     63      0 
